TAZID,CO_FIPS,CO_NAME,TOTHH
924,35,Salt Lake,0.0
925,35,Salt Lake,0.0
926,35,Salt Lake,329.0
927,35,Salt Lake,0.0
928,35,Salt Lake,0.0
929,35,Salt Lake,0.0
930,35,Salt Lake,0.0
931,35,Salt Lake,68.0
932,35,Salt Lake,0.0
933,35,Salt Lake,1122.0
934,35,Salt Lake,170.0
935,35,Salt Lake,0.0
936,35,Salt Lake,80.0
937,35,Salt Lake,0.0
938,35,Salt Lake,51.0
939,35,Salt Lake,54.0
940,35,Salt Lake,0.0
941,35,Salt Lake,237.0
942,35,Salt Lake,0.0
943,35,Salt Lake,0.0
944,35,Salt Lake,0.0
945,35,Salt Lake,0.0
946,35,Salt Lake,0.0
947,35,Salt Lake,0.0
948,35,Salt Lake,6.0
949,35,Salt Lake,38.0
950,35,Salt Lake,0.0
951,35,Salt Lake,1362.0
952,35,Salt Lake,148.0
953,35,Salt Lake,0.0
954,35,Salt Lake,0.0
955,35,Salt Lake,0.0
956,35,Salt Lake,0.0
957,35,Salt Lake,0.0
958,35,Salt Lake,0.0
959,35,Salt Lake,0.0
960,35,Salt Lake,652.0
961,35,Salt Lake,720.0
962,35,Salt Lake,481.0
963,35,Salt Lake,28.0
964,35,Salt Lake,549.0
965,35,Salt Lake,0.0
966,35,Salt Lake,203.0
967,35,Salt Lake,332.0
968,35,Salt Lake,456.0
969,35,Salt Lake,367.0
970,35,Salt Lake,654.0
971,35,Salt Lake,537.0
972,35,Salt Lake,241.0
973,35,Salt Lake,699.0
974,35,Salt Lake,899.0
975,35,Salt Lake,0.0
976,35,Salt Lake,0.0
977,35,Salt Lake,0.0
978,35,Salt Lake,0.0
979,35,Salt Lake,0.0
980,35,Salt Lake,698.0
981,35,Salt Lake,506.0
982,35,Salt Lake,278.0
983,35,Salt Lake,248.0
984,35,Salt Lake,1773.0
985,35,Salt Lake,726.0
986,35,Salt Lake,410.0
987,35,Salt Lake,516.0
988,35,Salt Lake,510.0
989,35,Salt Lake,419.0
990,35,Salt Lake,506.0
991,35,Salt Lake,425.0
992,35,Salt Lake,1216.0
993,35,Salt Lake,447.0
994,35,Salt Lake,367.0
995,35,Salt Lake,1126.0
996,35,Salt Lake,706.0
997,35,Salt Lake,527.0
998,35,Salt Lake,535.0
999,35,Salt Lake,0.0
1000,35,Salt Lake,289.0
1001,35,Salt Lake,529.0
1002,35,Salt Lake,467.0
1003,35,Salt Lake,645.0
1004,35,Salt Lake,422.0
1005,35,Salt Lake,45.0
1006,35,Salt Lake,441.0
1007,35,Salt Lake,0.0
1008,35,Salt Lake,0.0
1009,35,Salt Lake,0.0
1010,35,Salt Lake,0.0
1011,35,Salt Lake,24.0
1012,35,Salt Lake,0.0
1013,35,Salt Lake,0.0
1014,35,Salt Lake,0.0
1015,35,Salt Lake,0.0
1016,35,Salt Lake,1255.0
1017,35,Salt Lake,0.0
1018,35,Salt Lake,86.0
1019,35,Salt Lake,147.0
1020,35,Salt Lake,216.0
1021,35,Salt Lake,502.0
1022,35,Salt Lake,636.0
1023,35,Salt Lake,0.0
1024,35,Salt Lake,58.0
1025,35,Salt Lake,617.0
1026,35,Salt Lake,1287.0
1027,35,Salt Lake,421.0
1028,35,Salt Lake,0.0
1029,35,Salt Lake,0.0
1030,35,Salt Lake,0.0
1031,35,Salt Lake,375.0
1032,35,Salt Lake,0.0
1033,35,Salt Lake,51.0
1034,35,Salt Lake,458.0
1035,35,Salt Lake,0.0
1036,35,Salt Lake,139.0
1037,35,Salt Lake,129.0
1038,35,Salt Lake,855.0
1039,35,Salt Lake,617.0
1040,35,Salt Lake,0.0
1041,35,Salt Lake,584.0
1042,35,Salt Lake,351.0
1043,35,Salt Lake,622.0
1044,35,Salt Lake,371.0
1045,35,Salt Lake,672.0
1046,35,Salt Lake,489.0
1047,35,Salt Lake,499.0
1048,35,Salt Lake,516.0
